DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260922,500002,6152,45.73
20260922,500003,97766,52.24
20260922,500008,234039,89.48
20260922,500009,3683,100.0
20260922,500012,30524,76.15
20260922,500014,7140,93.63
20260922,500016,897,100.0
20260922,500020,15988,65.19
20260922,500023,221,85.33
20260922,500027,961,61.13
20260922,500028,7225,86.39
20260922,500031,3670,59.88
20260922,500032,276425,56.52
20260922,500033,3720,66.75
20260922,500034,97727,63.87
20260922,500038,22472,27.61
20260922,500039,2435,67.64
20260922,500040,45525,89.74
20260922,500041,24,51.06
20260922,500042,839,60.93
20260922,500043,4550,63.02
20260922,500048,5260,39.58
20260922,500049,135573,43.63
20260922,500051,11700,100.0
20260922,500052,109270,62.96
20260922,500058,17876,90.34
20260922,500059,407,100.0
20260922,500060,19938,51.42
20260922,500067,16477,50.66
20260922,500069,557,87.03
20260922,500074,2673,91.98
20260922,500078,5357,72.2
20260922,500083,23861,67.09
20260922,500084,531474,95.83
20260922,500085,16594,59.74
20260922,500086,41161,44.53
20260922,500087,11557,56.8
20260922,500089,93,98.94
20260922,500092,1691,69.93
20260922,500093,99172,56.82
20260922,500096,37513,72.17
20260922,500097,4777,45.08
20260922,500101,12631,53.8
20260922,500103,66189,42.37
20260922,500104,157426,40.93
20260922,500106,1625677,33.83
20260922,500108,34983,55.18
20260922,500109,105031,45.46
20260922,500110,25972,33.58
20260922,500112,178816,57.04
20260922,500113,110292,50.49
20260922,500114,109115,83.85
20260922,500116,174309,42.04
20260922,500117,410902,81.53
20260922,500119,19979,45.87
20260922,500120,45,100.0
20260922,500123,49,53.26
20260922,500124,85794,58.14
20260922,500125,11534,52.64
20260922,500126,196,67.35
20260922,500128,28655,44.31
20260922,500133,177,66.29
20260922,500135,23726,52.03
20260922,500136,470,92.34
20260922,500142,30,100.0
20260922,500143,4510,100.0
20260922,500144,27535,35.11
20260922,500147,223,56.31
20260922,500148,10276,66.75
20260922,500150,486,47.18
20260922,500151,1409,100.0
20260922,500153,2985,100.0
20260922,500160,34085,85.97
20260922,500163,1555,60.53
20260922,500164,1891,63.14
20260922,500165,5394,79.27
20260922,500166,2957,79.92
20260922,500168,1118,83.25
20260922,500170,4022,94.46
20260922,500171,2990,80.66
20260922,500173,2120,90.17
20260922,500174,172,100.0
20260922,500178,191,100.0
20260922,500179,50657,72.93
20260922,500180,2937368,79.93
20260922,500182,13877,64.35
20260922,500183,415122,100.0
20260922,500184,25704,35.72
20260922,500185,349589,43.87
20260922,500186,10985,59.73
20260922,500187,14323,49.68
20260922,500188,35282,33.02
20260922,500189,455,97.43
20260922,500191,1157,100.0
20260922,500192,14582,85.12
20260922,500193,101326,84.35
20260922,500199,1585,53.24
20260922,500201,39638,72.96
20260922,500206,1076,80.48
20260922,500207,111225,40.45
20260922,500209,224094,56.96
20260922,500210,554,63.97
20260922,500213,647,98.93
20260922,500214,4936,37.51
