DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,CHANDELIER_EXIT,REC_POS_SIZE_INR,ENTRY_PRICE,ATR14,STOP_LOSS,TAKE_PROFIT,AI_APPROVED
2026-09-25,KABRAEXTRU,,NSE,846.4,51.46,197992427.2,33850.52924277354,,48.804,43.6940909090909,42.31424242424242,103548672.87,85512782.84318182,66278925.58212123,21172.52321919949,18151.970589363125,14838.782384341115,1.21613898894992,2.9872606633413583,2.2812201409796877,,,,0.8931297709923665,0.931297709923664,0.9847328244274808,1.0,0.9732824427480916,3.0,0.9500325956577352,17.096880785536197,5849.020137322304,73.73141971718788,,,846.4000244140625,47.592860630580354,751.2143031529018,1036.7714669363838,
2026-09-25,EXHICON,,BSE,519.55,83.27,58839037.49999999,300276.4508928572,,78.204,72.13227272727272,71.93151515151516,17915592.5,9814250.568181818,9630608.333333334,254619.07398925629,181003.61408059503,162852.76823714195,1.157628889431867,6.109586794880558,1.84385229765086,,,,0.816793893129771,0.9923664122137404,0.9541984732824428,1.0,0.9534351145038168,3.0,0.9371186866184396,510.335422962786,195.94955690013325,69.89632768523441,,,519.5499877929688,17.43928963797433,484.6714085170201,589.307146344866,
2026-09-24,MGEL,,NSE,15.99,86.35,44252788.71,16009.827004061231,,86.148,74.59454545454544,65.10893939393938,33713812.147999994,26926491.06772727,11448879.319696968,38140.69069125429,17222.622797114163,8624.406014577102,1.3262387746411028,3.865250691730699,1.856339668726308,,,,0.9580152671755724,0.965648854961832,0.965648854961832,2.0,0.8717557251908397,2.0,0.9641197602633662,36.178120002736506,2764.101617011498,74.09415744177481,,,15.630000114440918,1.0371428217206682,13.555714470999582,19.77857140132359,
2026-09-23,NATHBIOGEN,INE448G01010,NSE,149.35,97.32,14051242.56,92634.825,,,,,,,,,,,1.3044887547574464,5.88918336815678,11.34598650904994,,,,,,,,,,,659.2642935629459,151.68423495159624,75.82212361695744,139.08132535492916,100000.0,148.02000427246094,4.469339458765892,139.08132535492916,165.89736210752451,True
2026-09-21,NBIFIN,INE365I01020,NSE,1926.4,99.46,11767250.0,309551.90263157897,,,,,,,,,,,1.3817407210169252,2.6087288466897665,6.199625973191141,,,,,,,,,,,2630.6223002959823,38.01381900729291,81.18341127659103,1822.5999755859373,100000.0,1945.0,61.20001220703125,1822.5999755859373,2189.800048828125,True
2026-09-18,BHATIA,INE341Z01025,BSE,38.54,88.96,53188942.11000001,27872.57977958793,,,,,,,,,,,1.1156003465730309,18.270797780048955,2.8481064262871816,,,,,,,,,,,52.40295947594646,1908.2891691623083,67.9577087383581,34.772856848580496,100000.0,39.09000015258789,2.158571652003697,34.772856848580496,47.72428676060268,True
2026-09-16,GUJAPOLLO,INE826C01016,NSE,329.1,90.34,15497151.6,32792.63374760994,,,,,,,,,,,1.306784609045561,5.53904387258246,3.804540877924993,,,,,,,,,,,211.6042650548113,472.5802666316637,75.57143034828925,309.1857169015067,100000.0,338.1000061035156,14.457144601004464,309.1857169015067,395.9285845075335,True
2026-09-16,DRAGARWQ,INE934C01018,NSE,5209.0,84.8,14080104.0,41346.11518987342,,,,,,,,,,,1.3682568708653795,3.922050826816107,2.5799257007888268,,,,,,,,,,,293.6492172918142,340.5423686201245,69.90380697478572,4964.142857142857,100000.0,5269.5,152.67857142857142,4964.142857142857,5880.214285714285,True
2026-09-16,ALKEM,INE540L01014,NSE,5274.0,62.3,980693550.0,50474.47321285783,,,,,,,,,,,1.125161106717637,2.331829702253883,1.3275730043106015,,,,,,,,,,,6.950387251162298,14387.687532558306,65.86397340499852,4987.142857142857,100000.0,5175.0,93.92857142857144,4987.142857142857,5550.714285714285,True
2026-08-31,GROWW,,NSE,192.06,66.41,30036522681.0,97757.58200024626,,,,,,,,,,,0.0,0.0,0.0,,,,0.0534351145038167,0.0534351145038167,0.0534351145038167,1.0,0.2427480916030534,0.0,0.0534351145038167,0.3254623813764038,307255.172094215,92.23025610819624,,100000.0,192.0599975585937,5.804999215262277,180.4499991280692,215.2799944196429,
