DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260917,543285,800,100.0
20260917,543287,20383,47.88
20260917,543288,5198,47.44
20260917,543290,128827,81.52
20260917,543291,44187,59.62
20260917,543292,1515,72.87
20260917,543298,15151,99.99
20260917,543299,5013,33.42
20260917,543300,132274,68.77
20260917,543306,455,69.47
20260917,543308,21788,60.31
20260917,543311,46092,59.07
20260917,543317,1514,38.79
20260917,543318,7264,51.84
20260917,543320,831485,60.97
20260917,543321,2902,56.77
20260917,543322,1932,60.66
20260917,543323,13097,53.2
20260917,543324,3283,9.42
20260917,543325,17108,55.91
20260917,543326,41841,63.25
20260917,543327,8770,88.14
20260917,543328,65197,35.18
20260917,543329,3394,52.5
20260917,543330,78340,69.85
20260917,543331,33813,51.22
20260917,543332,2518,84.9
20260917,543333,1492,29.38
20260917,543334,10128,81.34
20260917,543335,122106,73.32
20260917,543336,3789,61.51
20260917,543341,1556,79.79
20260917,543347,203,100.0
20260917,543348,11,100.0
20260917,543349,3096,43.46
20260917,543350,2093,45.17
20260917,543351,6000,100.0
20260917,543358,3867,68.02
20260917,543363,5600,70.0
20260917,543364,4842,30.56
20260917,543365,79595,56.2
20260917,543366,9600,100.0
20260917,543367,32601,38.39
20260917,543372,5000,100.0
20260917,543373,15512,100.0
20260917,543374,15035,62.96
20260917,543376,1083,95.93
20260917,543377,10000,100.0
20260917,543378,15500,91.18
20260917,543383,649,76.17
20260917,543384,608603,86.76
20260917,543386,3879,65.79
20260917,543387,412,36.56
20260917,543388,611,100.0
20260917,543389,494608,42.42
20260917,543390,356378,60.52
20260917,543391,15000,100.0
20260917,543396,99361,38.53
20260917,543397,29523,54.81
20260917,543398,8041,47.39
20260917,543399,2401,70.16
20260917,543400,4000,100.0
20260917,543401,656,55.03
20260917,543410,1950,100.0
20260917,543411,15394,69.42
20260917,543412,572607,97.21
20260917,543413,72137,40.61
20260917,543414,26865,63.02
20260917,543415,4021,66.04
20260917,543416,3281,88.58
20260917,543417,1774,41.9
20260917,543418,17,100.0
20260917,543419,10817,69.62
20260917,543420,11321,55.83
20260917,543425,4738,65.98
20260917,543426,737,53.48
20260917,543427,3222,82.57
20260917,543428,28867,37.43
20260917,543433,838,70.96
20260917,543434,4595,56.08
20260917,543437,141063,55.13
20260917,543438,1760,97.24
20260917,543440,175,92.11
20260917,543441,32489,50.67
20260917,543442,110,91.67
20260917,543449,13137,50.38
20260917,543450,23855,91.11
20260917,543451,20793,100.0
20260917,543452,22985,56.77
20260917,543453,11250,90.91
20260917,543454,285,78.95
20260917,543458,41054,30.17
20260917,543461,5000,50.0
20260917,543462,2891,91.75
20260917,543463,6685,60.13
20260917,543464,19000,70.37
20260917,543465,481,96.01
20260917,543470,5,100.0
20260917,543471,17139,58.83
20260917,543472,817,99.03
20260917,543473,2830,81.04
20260917,543474,13523,86.9
20260917,543481,27660,80.58
20260917,543482,4340,42.72
20260917,543489,32757,76.55
20260917,543490,14654,46.95
20260917,543497,8000,71.43
20260917,543498,147217,55.69
20260917,543499,23835,100.0
20260917,543500,20000,100.0
20260917,543501,18,100.0
20260917,543512,42574,78.34
20260917,543513,5,100.0
20260917,543514,4018,45.59
20260917,543515,6750,100.0
20260917,543516,100800,100.0
20260917,543517,1686,65.63
20260917,543519,1500,100.0
20260917,543520,38000,79.17
20260917,543522,6000,72.73
20260917,543523,5467,57.5
20260917,543524,4074,67.37
20260917,543525,11354,15.99
20260917,543526,142466,43.72
20260917,543527,22983,98.87
20260917,543528,23806,44.19
20260917,543529,119964,80.99
20260917,543530,202551,69.21
20260917,543531,7474,79.1
20260917,543532,294,66.22
20260917,543533,125107,36.86
20260917,543534,4834,51.95
20260917,543535,373,100.0
20260917,543539,767,86.96
20260917,543540,600,100.0
20260917,543542,200,1.42
20260917,543543,2600,76.47
20260917,543544,4500,100.0
20260917,543545,16700,100.0
20260917,543546,20000,62.5
20260917,543547,1657,67.47
20260917,543563,3461,85.39
20260917,543568,14805,64.43
20260917,543569,24,100.0
20260917,543570,1584,86.32
20260917,543571,1223,81.48
20260917,543572,14534,71.42
20260917,543573,120415,32.53
20260917,543574,1371,87.94
20260917,543575,2699,92.27
20260917,543576,4146,76.0
20260917,543577,45,95.74
20260917,543578,925,100.0
20260917,543590,35647,100.0
20260917,543591,3895,85.06
20260917,543592,54021,60.13
20260917,543593,3615,72.75
20260917,543596,1580,42.63
20260917,543597,2469,39.85
20260917,543599,1010,61.62
20260917,543600,6586,77.56
20260917,543605,454,99.56
20260917,543606,4000,100.0
20260917,543607,55,50.93
20260917,543608,607,97.43
20260917,543613,16000,44.44
20260917,543614,40,81.63
20260917,543615,800,100.0
