DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260918,500002,13847,75.38
20260918,500003,26924,44.1
20260918,500008,25009,61.37
20260918,500009,12759,100.0
20260918,500012,119035,77.34
20260918,500013,10,100.0
20260918,500014,2890,57.87
20260918,500016,1090,85.89
20260918,500020,27226,54.31
20260918,500023,279,86.92
20260918,500027,129337,99.09
20260918,500028,2769,66.31
20260918,500031,4045,67.65
20260918,500032,352603,40.42
20260918,500033,2157,58.16
20260918,500034,1007809,82.45
20260918,500038,21457,30.15
20260918,500039,3796,69.22
20260918,500040,6051,60.47
20260918,500041,5,100.0
20260918,500042,888,53.21
20260918,500043,11405,43.51
20260918,500048,20796,31.04
20260918,500049,366151,56.74
20260918,500051,1804,100.0
20260918,500052,35959,46.8
20260918,500058,68643,49.79
20260918,500059,5140,100.0
20260918,500060,33786,47.76
20260918,500067,61826,82.08
20260918,500068,17,70.83
20260918,500069,81,98.78
20260918,500074,1741,78.92
20260918,500078,1045,56.52
20260918,500083,26855,92.97
20260918,500084,61030,59.41
20260918,500085,26797,67.12
20260918,500086,83558,36.15
20260918,500087,6267,54.18
20260918,500089,49,80.33
20260918,500092,1031,73.64
20260918,500093,102843,50.09
20260918,500096,47770,65.09
20260918,500097,1467,43.49
20260918,500101,11423,35.41
20260918,500103,287847,62.64
20260918,500104,87091,64.82
20260918,500106,1001860,29.07
20260918,500108,31144,75.84
20260918,500109,125959,41.2
20260918,500110,30279,33.66
20260918,500112,106650,50.21
20260918,500113,222418,59.71
20260918,500114,18959,54.3
20260918,500116,448803,38.77
20260918,500117,14956,62.4
20260918,500119,31049,49.93
20260918,500120,37,80.43
20260918,500123,526,80.43
20260918,500124,47286,37.0
20260918,500125,17534,46.3
20260918,500126,202,80.16
20260918,500128,48110,66.14
20260918,500133,251,79.43
20260918,500135,44534,47.11
20260918,500136,1735,74.66
20260918,500142,2109,100.0
20260918,500143,10402,100.0
20260918,500144,21641,40.72
20260918,500147,675,83.96
20260918,500148,1774,52.33
20260918,500150,1033,63.49
20260918,500151,15,100.0
20260918,500153,14142,100.0
20260918,500160,13905,76.68
20260918,500163,7672,43.42
20260918,500164,2494,48.17
20260918,500165,6687,46.0
20260918,500166,6984,76.93
20260918,500168,838,86.75
20260918,500170,16,88.89
20260918,500171,10813,82.48
20260918,500173,635,92.97
20260918,500178,197,100.0
20260918,500179,67949,86.28
20260918,500180,4373687,86.52
20260918,500182,11372,72.13
20260918,500183,435904,100.0
20260918,500184,196351,72.96
20260918,500185,434306,53.24
20260918,500186,26585,68.88
20260918,500187,3113,51.04
20260918,500188,222872,61.57
20260918,500189,1222,95.62
20260918,500191,1366,100.0
20260918,500192,13444,93.71
20260918,500193,27530,89.05
20260918,500199,721,66.88
20260918,500201,50581,47.18
20260918,500202,1,100.0
20260918,500206,218,81.34
20260918,500207,52807,63.74
20260918,500209,172787,47.64
20260918,500210,5214,85.6
20260918,500213,597,75.09
20260918,500214,12512,52.78
20260918,500215,243,97.59
20260918,500219,221774,51.4
20260918,500220,1794,100.0
20260918,500227,2260,80.31
20260918,500228,13212,37.83
20260918,500233,7019,79.11
20260918,500234,80,100.0
20260918,500235,2900,59.88
20260918,500236,972,100.0
20260918,500238,17701,48.2
20260918,500239,575,62.84
20260918,500240,17411,100.0
20260918,500241,739,52.45
20260918,500243,280,70.18
20260918,500245,14067,71.51
20260918,500246,448,100.0
20260918,500247,94589,68.78
20260918,500248,200,100.0
20260918,500249,5258,62.03
20260918,500250,4800,82.5
20260918,500251,34645,79.91
20260918,500252,304,67.86
20260918,500253,22514,44.49
20260918,500257,124992,93.0
20260918,500259,53356,100.0
20260918,500260,7578,80.99
20260918,500262,425,100.0
20260918,500264,9931,96.65
20260918,500265,5256,62.76
20260918,500266,764,73.96
20260918,500267,642,100.0
20260918,500268,28563,54.64
20260918,500270,599,98.36
20260918,500271,47222,94.03
20260918,500277,504,100.0
20260918,500279,24035,79.81
20260918,500280,2377,65.37
20260918,500282,312,99.05
20260918,500284,759,89.4
20260918,500285,4437964,76.27
20260918,500288,502613,45.74
20260918,500290,159,56.79
20260918,500292,14296,63.2
20260918,500294,101071,59.07
20260918,500295,89222,49.69
20260918,500296,633,87.07
20260918,500298,816,76.98
20260918,500300,15392,87.36
20260918,500304,22499,57.84
20260918,500306,38394,29.04
20260918,500307,41,63.08
20260918,500312,297052,58.34
20260918,500313,5300,100.0
20260918,500314,21514,66.14
20260918,500317,2993,88.89
20260918,500319,3192,84.04
20260918,500322,25,100.0
20260918,500325,348502,72.37
20260918,500327,9336,85.3
20260918,500330,52579,37.72
20260918,500331,9843,54.39
20260918,500333,65,76.47
20260918,500335,78819,85.29
20260918,500336,12478,61.56
20260918,500337,9021,81.15
20260918,500338,58676,68.25
20260918,500339,56287,40.31
20260918,500342,322,100.0
20260918,500343,100,100.0
20260918,500346,103,98.1
20260918,500350,4188,100.0
20260918,500354,622,87.73
20260918,500355,17267,44.46
20260918,500356,2435,45.93
20260918,500357,671,100.0
20260918,500360,8917,100.0
20260918,500365,67978,69.79
20260918,500367,12451,43.83
20260918,500368,132525,78.1
20260918,500370,1000,100.0
20260918,500371,61016,100.0
20260918,500378,50687,55.76
20260918,500380,8234,59.14
20260918,500387,1449,39.28
20260918,500388,110,100.0
20260918,500390,53068,100.0
20260918,500399,4275,100.0
20260918,500400,458574,82.69
20260918,500402,3522,84.97
20260918,500403,3391,73.26
20260918,500404,7543,70.12
20260918,500405,38934,44.93
20260918,500407,1293,90.99
20260918,500408,10045,50.62
20260918,500410,12147,72.72
20260918,500411,4695,64.87
20260918,500412,39544,78.58
20260918,500413,14131,69.68
20260918,500414,157494,43.79
20260918,500418,2,100.0
20260918,500420,2504,42.53
20260918,500421,11844,100.0
20260918,500422,4210,100.0
20260918,500425,104749,64.91
20260918,500426,4450,82.21
20260918,500429,76,100.0
20260918,500439,16,94.12
20260918,500440,139816,47.49
20260918,500444,17008,63.58
20260918,500449,71309,68.48
20260918,500456,11725,80.37
20260918,500458,7262,73.64
20260918,500459,671,71.46
20260918,500460,12711,98.48
20260918,500463,20423,53.53
20260918,500464,1586,100.0
20260918,500467,264,98.88
20260918,500469,208393,52.36
20260918,500470,642867,59.22
20260918,500472,9065,69.04
20260918,500477,367376,56.19
20260918,500480,14207,60.29
20260918,500483,6914,67.2
20260918,500488,1971,66.79
20260918,500490,849,71.52
20260918,500493,183828,83.78
20260918,500495,1290,61.08
20260918,500500,102144,80.55
20260918,500510,35480,69.66
20260918,500520,136698,77.96
20260918,500530,297,51.92
20260918,500540,1084,100.0
20260918,500547,49456,52.67
20260918,500550,28285,65.48
20260918,500570,429560,55.58
20260918,500575,11343,54.07
20260918,500620,26386,63.99
20260918,500645,6342,41.69
20260918,500650,772,92.23
20260918,500655,809,62.42
20260918,500660,4772,74.18
20260918,500670,21551,28.41
20260918,500672,3971,48.14
20260918,500674,455,65.94
20260918,500680,2463,61.06
20260918,500690,20026,62.58
20260918,500696,23136,60.71
20260918,500710,741,69.64
20260918,500730,36928,65.22
20260918,500770,435742,42.91
20260918,500777,27747,47.31
20260918,500780,694,71.11
20260918,500790,106197,67.54
20260918,500800,28200,60.96
20260918,500820,13055,60.01
20260918,500825,5041,59.5
20260918,500830,7764,58.09
20260918,500840,4080895,97.68
20260918,500850,68742,68.47
20260918,500870,242635,56.43
20260918,500875,12789189,98.34
20260918,500877,24298,53.0
20260918,500878,7993,52.25
20260918,500890,1,100.0
20260918,500940,20983,60.34
20260918,501148,31,100.0
20260918,501150,2396,86.09
20260918,501151,5,100.0
20260918,501242,7479,97.71
20260918,501261,12433276,100.0
20260918,501295,7602,91.63
20260918,501298,1,100.0
20260918,501301,59280,35.89
20260918,501314,94792,90.2
20260918,501343,10043,23.2
20260918,501351,28,100.0
20260918,501370,187,74.21
20260918,501391,267,95.02
20260918,501421,92,61.33
20260918,501423,4105,48.12
20260918,501425,1863940,95.39
20260918,501430,3,100.0
20260918,501455,89929,74.18
20260918,501700,5463,73.56
20260918,501831,21875,86.52
20260918,501833,1745,99.94
20260918,501848,7310,76.85
20260918,501945,13754,100.0
20260918,502015,11028,99.24
20260918,502090,1234,90.8
20260918,502137,713,65.41
20260918,502157,510,60.79
20260918,502168,175,70.28
20260918,502175,7371,74.73
20260918,502180,14224,93.1
20260918,502219,19517,57.08
20260918,502250,21,100.0
20260918,502281,8204,100.0
20260918,502294,3,100.0
20260918,502330,22996,57.72
20260918,502355,9495,54.53
20260918,502420,17554,87.37
20260918,502445,1155,99.65
20260918,502448,91775,100.0
20260918,502450,2478,92.53
20260918,502587,1946,87.9
20260918,502589,416,100.0
20260918,502865,7383,74.34
20260918,502873,865,99.88
20260918,502893,16,94.12
20260918,502901,385,85.94
20260918,502933,7,100.0
20260918,502937,52443,100.0
20260918,502986,4178,42.51
20260918,503031,14328,79.7
20260918,503100,3346,54.58
20260918,503101,2736,61.69
20260918,503127,24,100.0
20260918,503162,373,96.38
20260918,503169,1006,61.04
20260918,503229,16,88.89
20260918,503310,26462,60.21
20260918,503349,54,100.0
20260918,503624,201,100.0
20260918,503635,507,100.0
20260918,503639,15471,100.0
20260918,503641,232355,83.1
20260918,503657,3452,69.16
20260918,503659,627,100.0
20260918,503663,402301,81.73
20260918,503675,5590,100.0
20260918,503681,8,72.73
20260918,503722,1461,56.74
20260918,503804,121,100.0
20260918,503806,4341,48.15
20260918,503811,1970,67.08
20260918,503816,4255,81.37
20260918,503837,154,100.0
20260918,503960,461,74.84
20260918,504000,7260,87.98
20260918,504028,14856,100.0
20260918,504036,1009,60.24
20260918,504058,134,93.06
20260918,504067,43913,55.15
20260918,504076,28241,74.26
20260918,504080,59,93.65
20260918,504084,170,88.08
20260918,504092,3611,64.95
20260918,504093,922,77.48
20260918,504112,24287,58.1
20260918,504132,417,60.96
20260918,504176,10175,83.22
20260918,504180,3852,57.79
20260918,504212,2453,42.52
20260918,504220,5794,98.1
20260918,504240,4823,100.0
20260918,504258,1245,74.68
20260918,504273,37596,100.0
20260918,504286,311,94.24
20260918,504340,702,92.25
20260918,504341,17825,79.07
20260918,504351,231226,100.0
20260918,504356,2001,90.91
20260918,504369,5301,100.0
20260918,504378,41862,83.96
20260918,504380,195,79.59
20260918,504392,1315,100.0
20260918,504397,7216,100.0
20260918,504605,161,60.07
20260918,504614,24992,75.54
20260918,504646,1529,100.0
20260918,504648,287,61.19
20260918,504731,3370,72.8
20260918,504741,4621,74.68
20260918,504746,18316,84.06
20260918,504786,1088,100.0
20260918,504840,22,100.0
20260918,504879,5531,87.06
20260918,504882,178,81.28
20260918,504903,22452,100.0
20260918,504908,147,60.25
20260918,504918,11461,47.03
20260918,504959,232,76.07
20260918,504973,7189,75.19
20260918,505010,351,70.91
20260918,505029,15306,99.58
20260918,505036,293,79.84
20260918,505075,6198,100.0
20260918,505160,32041,41.17
20260918,505163,88,82.24
20260918,505192,1009,52.88
20260918,505196,14251,100.0
20260918,505200,2728,41.02
20260918,505212,442,98.44
20260918,505216,13,100.0
20260918,505232,77,100.0
20260918,505242,312,61.3
20260918,505255,16502,39.02
20260918,505283,7418,64.09
20260918,505299,915,81.7
20260918,505302,92,100.0
20260918,505324,86384,63.13
20260918,505336,1929328,100.0
20260918,505343,445286,67.51
20260918,505355,1883,83.76
20260918,505358,2560,40.25
20260918,505368,130,100.0
20260918,505400,3591,44.73
20260918,505412,297,57.34
20260918,505502,124290,100.0
20260918,505504,20228,100.0
20260918,505509,8573,64.47
20260918,505515,8355,63.03
20260918,505523,595592,57.9
20260918,505526,4926,97.56
20260918,505533,977,79.63
20260918,505537,288201,29.63
20260918,505590,4989,48.3
20260918,505650,7818,62.37
20260918,505681,2,100.0
20260918,505685,4,100.0
20260918,505688,491,100.0
20260918,505690,474,97.53
20260918,505693,79571,83.49
20260918,505700,7489,54.79
20260918,505710,303057,42.81
20260918,505712,8945,100.0
20260918,505714,8711,53.48
20260918,505720,2336,71.07
20260918,505725,95276,11.03
20260918,505726,1033,62.45
20260918,505729,1292,51.72
20260918,505737,294,89.63
20260918,505744,6482,71.12
20260918,505750,3626,83.8
20260918,505790,18677,68.32
20260918,505797,20425,93.16
20260918,505800,1980,72.9
20260918,505827,8953,78.51
20260918,505840,1111,100.0
20260918,505850,623,77.78
20260918,505854,697,91.23
20260918,505872,4348,78.61
20260918,505890,1148,58.54
20260918,505893,1332,58.83
20260918,505978,274,78.74
