DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,ATR14,STOP_LOSS,TAKE_PROFIT,CHANDELIER_EXIT,REC_POS_SIZE_INR
2026-09-09,JOJO,,BSE,235.1,100.0,16412095.9,205136.3625,,100.0,85.04545454545456,76.94606060606061,11853148.8,12809247.55681818,8884088.481060605,69632.17633566094,62711.11505804658,38263.67492147011,1.2996116917793652,1.8473584470694828,5.361125477911062,,,,0.945054945054945,0.8241758241758241,0.978021978021978,1,0.9637362637362636,3,0.924074748287212,1249.9096017346571,80.00578590741074,81.18341127659103,,,,,
2026-08-20,NATFIT,,BSE,314.2,100.0,24468325.0,115265.24528301888,,100.0,86.18136363636366,87.16666666666666,8873655.84,9308085.000000002,3982684.231060606,49868.60752301343,49429.8919747358,31843.17903611115,1.147227533460803,6.143676872289717,3.6197781996673304,,,,0.7472527472527473,0.967032967032967,0.9560439560439561,1,0.945054945054945,3,0.915596094745253,471.0794273127355,212.27842737783791,65.71602263725728,,,,,
2026-09-21,GGAUTO,,BSE,203.85,93.43,13174213.95,24949.464944649448,,91.714,84.59772727272728,79.84939393939395,3967869.3,1483665.640909091,1344009.9734848484,19506.057746509217,11183.89988383585,9481.610477319004,1.1700777600255026,9.802169782892998,2.631353081244073,,,,0.7912087912087912,0.978021978021978,0.9230769230769231,1,0.9307692307692308,3,0.9120396959108106,189.38105179815642,528.0359310000066,72.42160816385707,,,,,
2026-08-07,PAYTM,,NSE,1810.0,53.13,4858963100.0,104047.52304102996,,40.04,44.83590909090909,41.497121212121215,4785119790.64,3463982147.181818,2499681376.827273,72749.94757791838,71606.93285953593,59137.27904063281,1.2803297782613616,1.9438329800925476,1.7594235772927536,True,True,True,0.9175824175824175,0.8516483516483516,0.8846153846153846,1,0.9076923076923078,2,0.8811772921034022,2.141352401730113,46699.45961216129,75.69600034856344,61.62144252232143,1686.757114955357,2056.485770089286,,100000.0
2026-08-26,PAYTM,,NSE,1810.0,53.13,4858963100.0,104047.52304102996,,40.04,44.83590909090909,41.497121212121215,4785119790.64,3463982147.181818,2499681376.827273,72749.94757791838,71606.93285953593,59137.27904063281,1.2803297782613616,1.9438329800925476,1.7594235772927536,,,,0.9175824175824175,0.8516483516483516,0.8846153846153846,2,0.8076923076923077,2,0.8811772921034022,2.141352401730113,46699.45961216129,75.69600034856344,61.62144252232143,1686.757114955357,2056.485770089286,,100000.0
2026-08-13,TLL,,BSE,368.6,81.31,35606760.0,276383.8775510204,,78.61599999999999,71.56772727272727,70.09378787878788,24322074.0,9930870.0,7539508.181818182,291804.37926333153,217185.09038873995,182449.56379857264,1.160017206383655,4.722690013901317,1.5148508541031802,,,,0.7692307692307693,0.945054945054945,0.8461538461538461,1,0.8791208791208791,3,0.8593896262768022,776.2118135742213,128.8308142844801,76.82212361695744,,,,,
2026-09-03,SHINDL,,NSE,163.0,63.2,37547865.0,39294.92911409396,,25.19,29.98636363636364,22.71575757575757,9815724.516,12025461.272272728,6860416.390000001,51553.12798840935,42066.70152546753,33284.255413695726,2.7822096528907987,5.473117499796539,1.1805860947072584,,,,1.0,0.9560439560439561,0.7252747252747253,1,0.8307692307692307,1,0.8452223749547629,104.65289867771165,955.5397056698764,45.37331298041038,,,,,
2026-08-21,ACESOFT,,BSE,203.95,100.0,10110821.25,45845.02790697674,,100.0,100.0,79.33651515151514,7264884.779999999,7728500.056818182,6814180.692424242,41103.44397790927,39368.22042467618,28812.3035543195,1.2604536487268465,1.4837911858194255,1.5911614918448171,,,,0.8791208791208791,0.7802197802197802,0.8571428571428571,1,0.8802197802197802,2,0.8380430811689696,453.425362524105,220.54346374301858,37.814814786789995,,,,,
2026-09-04,KATIPATANG,,BSE,14.93,90.13,2265597.64,15858.83435582822,,96.952,88.06454545454545,84.95272727272727,1756373.4459999998,1206925.5872727272,669850.208939394,16325.448919789487,14595.22501756185,8543.418814718894,1.060942984333533,3.3822451792427293,1.8562632477417678,,,,0.5714285714285714,0.9010989010989011,0.9120879120879121,1,0.8945054945054944,3,0.8353304508334192,699.9845901952925,142.86028778447888,57.915377246641434,,,,,
2026-08-18,SOFTTECH,,NSE,521.0,84.23,5794562.0,18845.39810298103,,87.26399999999998,79.55545454545454,75.52712121212123,7317416.01,2642521.625,1498051.6945454546,26205.759243596272,25342.84600932136,15215.031244173795,1.1152285251735778,3.8680654486747947,1.2386039700179645,,,,0.7252747252747253,0.9120879120879121,0.7472527472527473,1,0.8120879120879121,2,0.7906135839180188,325.2255839696086,307.4788852077047,42.02462823285292,,,,,
2026-08-28,PRARUH,,BSE,157.0,100.0,5024000.0,379346.1538461539,,100.0,97.8340909090909,94.6039393939394,7143420.0,7705517.272727272,3845860.606060606,290753.8071838072,346686.5813827534,210984.15776487795,1.0570384345581099,1.3063395984978734,1.7979840660306807,,,,0.5604395604395604,0.7692307692307693,0.9010989010989011,1,0.8736263736263736,2,0.7884923667531876,7550.679813816758,13.243840616445299,64.635097104977,,,,,
2026-09-01,HDBFS,,NSE,680.95,78.89,526489430.55,20850.929162397937,,63.778,65.22954545454544,60.94681818181818,164158680.82000002,374677147.4022728,312167209.58333325,13468.264614046991,24850.38522530978,18934.29460916792,1.2944071955430592,1.686562247369717,1.1012255588492845,,,,0.9340659340659341,0.8021978021978022,0.6703296703296703,1,0.7758241758241757,1,0.7596896904504693,3.9603699433464223,25250.1663810483,49.475584847434135,15.02142333984375,650.9071533203125,741.035693359375,,100000.0
2026-08-12,EMERALL,,BSE,306.0,100.0,641988.0,18330.342857142856,,100.0,99.64590909090909,92.13439393939392,147077.2,628341.3545454545,558557.3022727274,12693.495098039217,14778.259872053588,12724.973260796976,1.085371007766981,1.1493681980126291,1.4405014833009409,,,,0.6153846153846154,0.7252747252747253,0.8351648351648352,1,0.8351648351648351,3,0.7561038940719422,2855.24696055734,35.023240154497934,68.73534510690149,,,,,
2026-09-10,GESHIP,,NSE,1485.0,48.06,835161030.0,38189.737610275326,,56.728,50.02772727272728,48.09757575757576,647587880.4,614162279.590909,491707209.1727272,23409.40823913072,25679.994968656974,22876.28530910276,0.999218759844256,1.6984925468250032,1.6694029250928755,,,,0.4175824175824176,0.8131868131868132,0.8681318681318682,1,0.8439560439560441,3,0.7520487808031928,4.572739416526095,21868.729199524318,35.03977292335632,32.778564453125,1419.44287109375,1616.1142578125,,100000.0
2026-08-31,SPICELOUNG,,BSE,42.01,30.62,24061899.66,36946.46356370475,,45.448,62.229545454545466,66.4548484848485,20701752.524,14351171.587727273,5966882.988484848,25812.140994486424,19920.69404542874,11552.514735483825,0.4607639728045015,4.032574412207463,3.1981316977006577,,,,0.09340659340659341,0.9285714285714286,0.9395604395604396,2,0.7659340659340659,2,0.726548231360358,153.54757556870615,651.2639462370031,41.62951087418489,,,,,
2026-08-27,SPICELOUNG,,BSE,42.01,30.62,24061899.66,36946.46356370475,,45.448,62.229545454545466,66.4548484848485,20701752.524,14351171.587727273,5966882.988484848,25812.140994486424,19920.69404542874,11552.514735483825,0.4607639728045015,4.032574412207463,3.1981316977006577,,,,0.09340659340659341,0.9285714285714286,0.9395604395604396,1,0.865934065934066,2,0.726548231360358,153.54757556870615,651.2639462370031,41.62951087418489,,,,,
