DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260925,500002,1089,37.77
20260925,500003,14655,50.92
20260925,500008,211707,93.34
20260925,500009,4557,100.0
20260925,500012,20164,59.54
20260925,500013,10,100.0
20260925,500014,9220,70.38
20260925,500016,1643,92.62
20260925,500020,22218,68.49
20260925,500023,502,99.8
20260925,500027,665,72.6
20260925,500028,71745,65.93
20260925,500031,5376,77.1
20260925,500032,860007,54.99
20260925,500033,2150,45.9
20260925,500034,153488,52.34
20260925,500038,45781,21.78
20260925,500039,5526,61.72
20260925,500040,4977,48.05
20260925,500041,51,80.95
20260925,500042,560,70.71
20260925,500043,4196,60.77
20260925,500048,7872,64.63
20260925,500049,384525,52.72
20260925,500051,55494,100.0
20260925,500052,21269,46.16
20260925,500058,11515,67.7
20260925,500059,8057,100.0
20260925,500060,50526,55.72
20260925,500067,56908,87.85
20260925,500068,10,100.0
20260925,500069,63,92.65
20260925,500074,2629,61.04
20260925,500078,1648,83.53
20260925,500083,10662,81.95
20260925,500084,91189,60.42
20260925,500085,19068,60.61
20260925,500086,16056,33.19
20260925,500087,51630,57.92
20260925,500089,245,99.19
20260925,500092,785,68.74
20260925,500093,58712,63.94
20260925,500096,8743,45.39
20260925,500097,18744,48.23
20260925,500101,120800,87.77
20260925,500103,155866,41.07
20260925,500104,142705,66.94
20260925,500106,664813,29.26
20260925,500108,25037,72.92
20260925,500109,62746,26.02
20260925,500110,25880,34.95
20260925,500112,112510,48.14
20260925,500113,162104,40.65
20260925,500114,11160,55.14
20260925,500116,386203,35.12
20260925,500117,52942,49.37
20260925,500119,46358,46.03
20260925,500120,25,100.0
20260925,500123,53,76.81
20260925,500124,19439,67.86
20260925,500125,9731,42.86
20260925,500126,217,70.92
20260925,500128,26186,47.91
20260925,500133,73,75.26
20260925,500135,53295,69.03
20260925,500136,1600,95.12
20260925,500142,1444,100.0
20260925,500143,16954,100.0
20260925,500144,9328,38.49
20260925,500147,166,48.4
20260925,500148,1670,85.25
20260925,500150,366,67.65
20260925,500151,41,100.0
20260925,500153,18544,100.0
20260925,500159,30,100.0
20260925,500160,17251,75.33
20260925,500163,4349,57.48
20260925,500164,9948,51.66
20260925,500165,7003,74.51
20260925,500166,3769,80.17
20260925,500168,392,77.47
20260925,500170,5851,69.69
20260925,500171,3392,62.56
20260925,500173,5652,94.96
20260925,500178,238,100.0
20260925,500179,17035,74.64
20260925,500180,564304,66.94
20260925,500182,1850,46.23
20260925,500183,316862,100.0
20260925,500184,89219,63.56
20260925,500185,380649,56.41
20260925,500186,17827,55.47
20260925,500187,4281,52.59
20260925,500188,47321,48.35
20260925,500189,1179,92.18
20260925,500191,582,100.0
20260925,500192,9039,92.19
20260925,500193,27046,91.63
20260925,500199,1812,53.86
20260925,500201,65274,31.2
20260925,500202,121,100.0
20260925,500206,831,98.11
20260925,500207,32742,48.08
20260925,500209,535989,66.04
20260925,500210,440,53.33
20260925,500213,3743,76.92
20260925,500214,12026,75.95
20260925,500215,962,77.33
20260925,500219,24267,54.96
20260925,500220,10396,100.0
20260925,500227,1397,84.98
20260925,500228,13996,49.17
20260925,500233,2257,63.88
20260925,500234,101,100.0
20260925,500235,2667,59.21
20260925,500236,30,100.0
20260925,500238,632748,30.38
20260925,500239,7495,81.43
20260925,500240,37312,100.0
20260925,500241,2315,64.83
20260925,500243,419,72.87
20260925,500245,6321,56.33
20260925,500246,91,100.0
20260925,500247,2421913,94.14
20260925,500248,25,100.0
20260925,500249,5161,57.63
20260925,500250,2426,75.09
20260925,500251,16182,51.27
20260925,500252,148,41.93
20260925,500253,32567,57.12
20260925,500257,5378,61.34
20260925,500259,3761,100.0
20260925,500260,397339,97.8
20260925,500262,1083,100.0
20260925,500264,15901,76.11
20260925,500265,6264,45.61
20260925,500266,93,62.42
20260925,500267,736,100.0
20260925,500268,71124,56.69
20260925,500270,158,88.27
20260925,500271,32859,33.72
20260925,500277,1042,99.81
20260925,500279,20081,75.13
20260925,500280,1862,64.38
20260925,500282,8,100.0
20260925,500284,10506,75.76
20260925,500285,3667389,54.61
20260925,500288,397567,54.9
20260925,500290,102,53.12
20260925,500292,20788,86.12
20260925,500294,108585,55.29
20260925,500295,198343,63.99
20260925,500296,758,92.66
20260925,500298,299,65.14
20260925,500300,3596,58.86
20260925,500304,15704,77.47
20260925,500306,31593,48.15
20260925,500307,5,71.43
20260925,500312,92297,48.74
20260925,500313,14981,100.0
20260925,500314,15141,90.44
20260925,500317,2955,93.66
20260925,500319,8069,70.9
20260925,500322,59,100.0
20260925,500325,252128,47.78
20260925,500327,4596,97.87
20260925,500330,104613,38.72
20260925,500331,10556,47.61
20260925,500333,378,64.51
20260925,500335,729,57.31
20260925,500336,28313,62.4
20260925,500337,1059,99.91
20260925,500338,20628,73.79
20260925,500339,36521,28.07
20260925,500342,407,88.86
20260925,500343,152,100.0
20260925,500346,128,84.21
20260925,500350,3202,79.71
20260925,500354,6876,84.31
20260925,500355,9008,63.62
20260925,500356,2686,97.18
20260925,500357,528,100.0
20260925,500360,18695,100.0
20260925,500365,58984,54.31
20260925,500367,4067,20.29
20260925,500368,73971,39.17
20260925,500370,332,71.4
20260925,500371,13220,100.0
20260925,500378,23688,40.43
20260925,500380,2664,54.69
20260925,500387,200,72.99
20260925,500388,137,100.0
20260925,500390,49565,100.0
20260925,500399,1032,100.0
20260925,500400,123724,62.33
20260925,500402,10971,50.9
20260925,500403,1504,53.26
20260925,500404,41090,51.68
20260925,500405,10361,65.17
20260925,500407,172,77.83
20260925,500408,10023,52.99
20260925,500410,7529,79.6
20260925,500411,73863,94.87
20260925,500412,12704,74.08
20260925,500413,18936,62.18
20260925,500414,11027,40.53
20260925,500420,36087,84.76
20260925,500421,93425,100.0
20260925,500422,5844,100.0
20260925,500425,51276,55.3
20260925,500426,9747,100.0
20260925,500439,3,100.0
20260925,500440,37604,66.1
20260925,500444,5527,51.8
20260925,500449,143513,48.87
20260925,500456,22695,67.88
20260925,500458,505,98.63
20260925,500459,495,59.64
20260925,500460,31470,64.94
20260925,500463,22421,44.0
20260925,500464,545,100.0
20260925,500467,400,86.58
20260925,500469,49170,43.24
20260925,500470,328542,48.21
20260925,500472,669,56.65
20260925,500477,2196062,90.18
20260925,500480,8119,56.92
20260925,500483,6008,63.08
20260925,500488,417,58.16
20260925,500490,209,43.82
20260925,500493,44437,84.13
20260925,500495,3188,70.08
20260925,500500,612682,68.81
20260925,500510,257324,90.48
20260925,500520,32306,53.49
20260925,500530,1952,88.21
20260925,500540,1157,100.0
20260925,500547,34134,42.98
20260925,500550,2964,59.34
20260925,500570,956956,68.45
20260925,500575,14261,47.88
20260925,500620,56847,81.38
20260925,500645,4287,36.9
20260925,500650,370,88.52
20260925,500655,1808,52.36
20260925,500660,461,72.14
20260925,500670,65840,49.01
20260925,500672,1235,58.42
20260925,500674,1041,56.89
20260925,500680,1016,65.76
20260925,500690,34263,61.19
20260925,500696,14091,60.11
20260925,500710,3001,59.23
20260925,500730,21730,54.98
20260925,500770,27749,54.56
20260925,500777,126704,45.94
20260925,500780,3145,28.23
20260925,500790,17039,72.87
20260925,500800,568922,96.98
20260925,500820,12659,50.34
20260925,500825,28967,93.76
20260925,500830,4542,55.64
20260925,500840,6853,57.38
20260925,500850,33249,64.5
20260925,500870,1276183,79.76
20260925,500875,192036,49.87
20260925,500877,13302,47.87
20260925,500878,1528,60.66
20260925,500890,3,100.0
20260925,500940,12062,58.34
20260925,501148,21,100.0
20260925,501150,745638,98.04
20260925,501151,1,100.0
20260925,501242,1079,87.79
20260925,501261,1635949,100.0
20260925,501270,1,100.0
20260925,501295,8262,84.67
20260925,501298,5,100.0
20260925,501301,9905,38.41
20260925,501314,38945,75.57
20260925,501343,4100,7.29
20260925,501351,4,100.0
20260925,501370,432,87.8
20260925,501391,62,100.0
20260925,501421,55,73.33
20260925,501423,14213,85.39
20260925,501425,1611804,99.92
20260925,501455,504139,50.2
20260925,501700,75349,77.57
20260925,501831,7413,82.27
20260925,501833,5546,99.39
20260925,501848,3981,36.93
20260925,501945,44223,100.0
20260925,502015,3126,59.07
20260925,502090,569,79.25
20260925,502137,1378,95.17
20260925,502157,7156,95.5
20260925,502168,3611,80.76
20260925,502175,17862,70.49
20260925,502180,4855,96.42
20260925,502219,48006,78.56
20260925,502281,7881,100.0
20260925,502294,1,50.0
20260925,502330,23807,63.66
20260925,502355,2630,55.61
20260925,502420,6367,74.76
20260925,502445,159,100.0
20260925,502448,43043,100.0
20260925,502450,1840,86.1
20260925,502587,846,60.13
20260925,502820,2200,100.0
20260925,502865,7009,88.04
20260925,502873,2341,76.68
20260925,502893,112,94.92
20260925,502901,1069,100.0
20260925,502937,59226,100.0
20260925,502958,50,73.53
20260925,502986,13619,67.93
20260925,503031,10310,79.69
20260925,503100,4399,47.28
20260925,503101,455,67.31
20260925,503162,1,100.0
20260925,503169,713,65.29
20260925,503229,1,100.0
20260925,503310,7026,47.83
20260925,503349,15,100.0
20260925,503624,1382,99.93
20260925,503635,320,100.0
20260925,503639,68,100.0
20260925,503641,45761,97.99
