DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260921,500002,14820,66.46
20260921,500003,91016,50.54
20260921,500008,14023,48.81
20260921,500009,7312,100.0
20260921,500012,72363,78.02
20260921,500013,1,100.0
20260921,500014,7239,64.19
20260921,500016,1491,58.82
20260921,500020,9444,62.47
20260921,500023,374,84.62
20260921,500027,641,52.03
20260921,500028,11084,62.41
20260921,500031,5178,64.13
20260921,500032,701308,42.53
20260921,500033,2299,66.08
20260921,500034,36476,60.32
20260921,500038,14657,32.07
20260921,500039,8701,69.79
20260921,500040,5366,57.41
20260921,500041,5,100.0
20260921,500042,963,39.66
20260921,500043,5497,56.28
20260921,500048,8153,50.58
20260921,500049,572364,55.33
20260921,500051,1795,100.0
20260921,500052,45615,57.36
20260921,500058,26417,75.01
20260921,500059,4095,100.0
20260921,500060,31684,63.77
20260921,500067,31963,52.94
20260921,500068,4,100.0
20260921,500069,170,100.0
20260921,500074,4809,73.11
20260921,500078,5786,64.93
20260921,500083,26128,90.01
20260921,500084,354101,80.53
20260921,500085,18310,56.45
20260921,500086,52524,59.09
20260921,500087,30047,66.86
20260921,500089,113,90.4
20260921,500092,320,45.71
20260921,500093,181486,54.57
20260921,500096,44385,46.09
20260921,500097,2451,51.88
20260921,500101,95379,89.06
20260921,500103,116144,49.83
20260921,500104,18140,29.65
20260921,500106,1443468,32.76
20260921,500108,18630,82.69
20260921,500109,228242,35.68
20260921,500110,22366,39.87
20260921,500112,90125,54.15
20260921,500113,188889,47.69
20260921,500114,44023,82.11
20260921,500116,310355,43.85
20260921,500117,25445,56.28
20260921,500119,41669,56.16
20260921,500120,60,100.0
20260921,500123,1091,83.03
20260921,500124,26123,45.22
20260921,500125,11144,52.86
20260921,500126,247,59.52
20260921,500128,36342,59.64
20260921,500133,192,61.15
20260921,500135,305075,69.65
20260921,500136,2756,95.1
20260921,500142,6401,100.0
20260921,500143,5878,100.0
20260921,500144,11254,42.21
20260921,500147,281,54.78
20260921,500148,762,63.82
20260921,500150,495,54.94
20260921,500151,867,100.0
20260921,500153,5145,100.0
20260921,500159,107,99.07
20260921,500160,14946,78.16
20260921,500163,3982,56.85
20260921,500164,2247,64.62
20260921,500165,2256,72.4
20260921,500166,5752,75.52
20260921,500168,394,67.35
20260921,500170,3100,99.68
20260921,500171,1354,62.05
20260921,500173,4717,87.29
20260921,500174,5,100.0
20260921,500178,204,100.0
20260921,500179,98248,72.27
20260921,500180,640300,57.63
20260921,500182,74779,88.88
20260921,500183,260929,100.0
20260921,500184,56812,39.69
20260921,500185,432385,45.4
20260921,500186,12704,50.59
20260921,500187,27849,59.03
20260921,500188,68880,47.43
20260921,500189,122,99.19
20260921,500191,3535,100.0
20260921,500192,1926,88.92
20260921,500193,14899,76.75
20260921,500199,3805,65.04
20260921,500201,20913,53.65
20260921,500202,27,100.0
20260921,500206,1056,75.43
20260921,500207,465411,53.07
20260921,500209,93117,46.44
20260921,500210,853,50.96
20260921,500213,960,97.07
20260921,500214,9520,49.72
20260921,500215,6192,69.11
20260921,500219,89974,52.1
20260921,500220,4921,100.0
20260921,500227,2507,57.02
20260921,500228,6548,41.39
20260921,500233,3211,63.81
20260921,500234,242,99.59
20260921,500235,1772,74.96
20260921,500236,357,100.0
20260921,500238,54868,77.37
20260921,500239,1496,60.06
