DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,CHANDELIER_EXIT,REC_POS_SIZE_INR,ENTRY_PRICE,ATR14,STOP_LOSS,TAKE_PROFIT
2026-08-31,GROWW,,NSE,192.06,66.41,30036522681.0,97757.58200024626,,,,,,,,,,,0.0,0.0,0.0,,,,0.045454545454545456,0.045454545454545456,0.045454545454545456,1,0.2363636363636364,0,0.04545454545454519,0.3254623813764038,307255.172094215,92.23025610819623,,100000.0,192.0599975585937,5.804999215262277,180.4499991280692,215.2799944196429
2026-09-16,ALKEM,,NSE,5466.5,76.31,1338062537.5,81498.3958047256,,61.32000000000001,60.46363636363637,55.82136363636363,665575247.3,444239840.9090909,441323474.0681818,50839.40689967011,43266.61767797486,38700.34761701192,1.3670393381484771,3.031931488179297,2.105882784600635,,,,0.916083916083916,0.9090909090909091,0.8951048951048951,1,0.9195804195804196,3,0.9034764789244247,6.090776291891036,16418.26841237547,82.56718365856365,,100000.0,5175.0,93.92857142857144,4987.142857142857,5550.714285714285
2026-09-18,ALKEM,,NSE,5466.5,76.31,1338062537.5,81498.3958047256,,61.32000000000001,60.46363636363637,55.82136363636363,665575247.3,444239840.9090909,441323474.0681818,50839.40689967011,43266.61767797486,38700.34761701192,1.3670393381484771,3.031931488179297,2.105882784600635,,,,0.916083916083916,0.9090909090909091,0.8951048951048951,2,0.8195804195804196,3,0.9034764789244247,6.090776291891036,16418.26841237547,82.56718365856365,,100000.0,5466.5,109.10714285714286,5248.285714285715,5902.928571428572
2026-09-09,JOJO,,BSE,230.5,100.0,12450457.5,127038.61224489796,,100.0,83.87863636363637,76.07727272727271,14301862.86,12524530.970454546,8701107.46439394,64793.18972001467,57950.76564390075,36617.63719728953,1.3144530083049533,1.4309049222698245,3.469328497642701,,,,0.8321678321678322,0.7552447552447552,0.972027972027972,1,0.9419580419580418,2,0.8765100357514337,1020.3529649002695,98.00530153776162,78.53217081857576,,,222.25,7.778569902692523,206.69286019461487,253.3642796107701
2026-09-18,BHATIA,,BSE,39.09,88.96,53188942.11000001,27872.57977958793,,85.19200000000001,80.06590909090909,79.74181818181819,11419376.738,6372899.554090909,2911145.0277272724,19372.230708780917,14369.208972950866,9786.354724083429,1.1156003465730309,18.270797780048955,2.8481064262871816,,,,0.6363636363636364,1.0,0.958041958041958,1,0.9384615384615385,3,0.9010605936980676,52.40295947594646,1908.2891691623083,67.9577087383581,,,39.09000015258789,2.158571652003697,34.772856848580496,47.72428676060268
2026-09-11,IBULLSLTD,,NSE,30.39,63.25,655180532.37,40574.40858983901,,70.928,60.24363636363636,58.78227272727272,581750173.51,272984692.5363636,184530637.9527273,38521.448988431264,23784.86275774082,19836.97841793037,1.0760046705484803,3.550524398760508,2.045392586260232,,,,0.5524475524475524,0.9370629370629371,0.8811188811188811,1,0.8776223776223777,3,0.8262264482637152,6.192859309031702,16147.629876583731,67.37527282651783,,100000.0,26.13999938964844,1.2507143020629885,23.63857078552246,31.14285659790039
2026-09-08,CONFIPET,,NSE,91.95,43.31,220699861.2,13314.451316364402,,36.80800000000001,46.85181818181818,45.31742424242424,103135810.176,154070887.1077273,123960428.39060606,11500.92276357243,15907.2096998863,15190.963444977491,0.9557030374964478,1.78040576388267,0.8764718159312331,,,,0.3916083916083916,0.7972027972027972,0.5034965034965035,1,0.620979020979021,1,0.5618299430712641,6.032831758013087,16575.96366203572,65.16919834246977,,,82.48999786376953,4.092857360839844,74.30428314208984,98.8614273071289
2026-09-10,GESHIP,,NSE,1432.1,50.25,335324782.9,26628.629042467943,,57.536,49.40318181818182,47.91984848484849,748380019.98,620972892.5136364,492492850.0287879,24131.850680291034,25602.8789950361,22826.20569073987,1.0486260200903654,0.6808723880567994,1.1665814898562243,,,,0.5104895104895105,0.45454545454545453,0.6783216783216783,1,0.7034965034965035,2,0.5742704157487992,7.941145540205745,12592.641640139129,64.49149187085821,,100000.0,1400.199951171875,35.64286586216518,1328.9142194475446,1542.7714146205358
2026-09-10,EMAMILTD,,NSE,368.45,49.72,678499938.1,18489.661110438443,,48.686,56.02409090909092,57.72984848484849,508490480.39,392414075.29772735,245557411.87121207,19874.334385459693,19607.698886928345,16233.308233884738,0.8612529099751454,2.763101031769524,1.1389952586401266,,,,0.24825174825174826,0.8776223776223776,0.6398601398601399,2,0.5965034965034965,1,0.6171351504925273,2.7250792626768616,36696.18031652019,63.47304153873448,,,370.8500061035156,11.871427263532366,347.1071515764509,418.3357151576451
