DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,TOTAL_TURNOVER,VOLUME,VWAP,VWAP_1M,WHALE_DENSITY,WHALE_DENSITY_1M,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2026-09-23,20MICRONS,INE144J01027,NSE,219.21,41.24,9454527.3,23012738.72,104573,220.0638665812399,218.99144706888538,31.69839345256138,36.68459375805278,6975.671027584116,False,39.279999999999994,44.80045454545455,44.33121212121213,13799143.894,18791986.396363635,18765681.090909086,7130.332971438887,8033.612272210178,8895.21504048762
2026-09-23,21STCENMGM,INE253B01015,NSE,39.92,66.68,161636.08000000002,241957.42,6072,39.84805994729908,40.733172722133716,51.45762711864407,92.7612434952845,2050.4866101694915,False,67.94,79.58681818181819,84.13636363636364,49472.219999999994,150694.4481818182,208941.4803030303,1909.3745571347172,3778.4597532133266,4248.217884216485
2026-09-23,360ONE,INE466L01038,NSE,1108.0,55.77,2250611704.0,4049269734.2,3642452,1111.687877891047,1132.3098462775536,38.21809520811693,20.32490681769582,42486.5931589495,False,59.50599999999999,54.5640909090909,55.07954545454545,324423397.17999995,408369257.8818182,644714128.3954545,21067.339797133413,23014.092114350755,29100.201330617372
2026-09-23,3BBLACKBIO,INE994E01018,NSE,1431.6,50.92,4777249.199999999,9242899.2,6553,1410.483625820235,1414.4560775615148,5.8771300448430495,8.824351458886158,8289.595695067264,False,56.614,54.99318181818182,57.267272727272726,7352266.539999999,15397390.604545455,10700096.846969696,10644.525844532836,12481.657551560345,11373.141606061701
2026-09-23,3MINDIA,INE470A01017,NSE,34615.0,38.58,66668490.0,173397635.0,4992,34735.1031650641,33257.67235486695,1.9259259259259258,1.6716033347672188,66897.23572530864,False,37.650000000000006,45.755,43.81939393939394,74715964.0,44591833.86363637,56969776.21212121,61598.953315733386,55593.636014991134,61325.65462663822
2026-09-23,3PLAND,INE105C01023,NSE,30.91,83.46,69423.86,82798.65,2691,30.768729096989965,32.070338950362824,42.714285714285715,45.80711333717456,1314.2642857142857,False,71.79400000000001,80.08136363636363,80.53924242424242,127136.46200000001,111863.7918181818,117232.81878787877,1023.1908463458527,1469.0496510608739,1631.683073232235
2026-09-23,5PAISA,INE618L01018,NSE,318.15,70.5,6916580.999999999,9775108.95,30838,316.9825847979765,348.49957184435334,28.847521047708142,19.233848604745862,9144.161786716557,False,54.27,52.28,51.76363636363637,4018942.1100000003,6976365.277272727,11568185.904545456,5292.274872496929,6702.988003673046,8171.633305170949
2026-09-23,63MOONS,INE111B01023,NSE,852.95,33.39,145234355.35,435303408.55,510000,853.5360951960785,855.895351908327,21.030927835051546,22.8241762782089,17950.656022680414,False,34.64,39.02681818181818,39.534090909090914,128978742.05,141328032.40681818,134738695.3507576,17159.256380640563,19535.106387655294,20996.108784382173
2026-09-23,A1L,INE911Z01025,BSE,6.24,0.0,0.0,6111197.0,984448,6.207739768885711,5.558763632688741,706.710696338837,995.263284551051,4387.076094759512,False,92.848,72.37181818181817,62.90999999999999,8678994.574000001,7437969.966818183,13314908.325000001,4462.117752735795,5532.433351112729,8306.084622500617
2026-09-23,A2ZINFRA,INE619I01012,NSE,14.79,58.46,1662795.3299999998,2851320.72,192304,14.827152425326567,15.820093169474525,254.37037037037038,507.5489158631498,3771.5882539682543,False,68.68799999999999,70.87090909090911,70.33303030303031,1137487.514,3188888.6295454544,3562417.351969697,4789.807382161705,8029.471137020816,7003.0886355934845
2026-09-23,AAATECH,INE0D0U01013,NSE,93.56,8.71,950195.36,10909248.59,116561,93.59261322397714,90.95893849249708,251.20905172413794,87.53013143948903,23511.31161637931,False,31.446000000000005,59.48227272727272,59.38121212121212,5126360.86,2384222.119090909,1786086.053787879,15288.204625704708,7961.647841844667,5661.4549584669985
2026-09-23,AADHARHFC,INE883F01010,NSE,454.55,68.75,69574786.65,101368338.45,222625,455.3322333520494,466.1968928527879,25.559701492537314,21.393170603292052,11638.155964408727,False,58.552,55.32818181818182,54.15863636363636,190942406.96999997,106597206.20681816,131578071.70151514,12138.928241980091,9973.429663524357,11625.002132661235
2026-09-23,AAIL,INE864E01021,BSE,86.16,0.0,0.0,113340.0,1309,86.585179526356,88.70831298118298,39.666666666666664,85.80734365158337,3434.5454545454545,False,100.0,100.0,82.13303030303028,283050.47599999997,346049.3868181818,556500.6943939395,8428.34787752782,7611.824696728582,8543.893251014737
