DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,TOTAL_TURNOVER,VOLUME,VWAP,VWAP_1M,WHALE_DENSITY,WHALE_DENSITY_1M,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,IS_FLEXGATE_ALERT,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,SIS,Implied_Trades,Whale_Density,AI_WIN_PROBABILITY,AI_APPROVED,CHANDELIER_EXIT,REC_POS_SIZE_INR,ENTRY_PRICE,ATR14,STOP_LOSS,TAKE_PROFIT
2026-09-24,MOTHERSON,INE775A01035,NSE,165.71,68.35,2449082675.0,3619469115.97,22050862.0,164.1418424354567,163.63869550728995,535.0203081402402,179.86176591041573,87819.21911852481,False,,,,,,,,,,True,1.340478829461948,1.8827142750144408,2.810825575441932,0.9595188526486236,0.8891973166782328,0.9731667823270876,0.9448897301812408,27887.77558696584,535.0203081402402,70.21409686155083,True,155.76286424909318,100000.0,162.5,3.485712323869978,155.76286424909318,
2026-09-10,BRGIL,INE00ST01011,BSE,187.8,100.0,20170450.0,20383600.0,109000.0,187.005504587156,192.007338902148,1329.2682926829268,1254.738348464807,248580.48780487804,False,100.0,100.0,92.34833333333331,7018940.0,7332204.545454546,7985419.696969697,215819.16187527645,240918.9713072036,250090.3442491958,True,1.0828565756465558,2.525909816318643,0.9939627559438547,0.625,0.75,0.3125,0.4932473190937934,81.14253125061325,1329.2682926829266,70.05271162700015,True,167.35357775006975,100000.0,185.0500030517578,8.982141767229352,167.35357775006975,
2026-09-07,SINTERCOM,INE129Z01016,NSE,77.93,99.55,10292670.57,10340108.39,126972.0,81.43613072173393,80.52340760849891,3096.878048780488,67.49517434869588,252197.7656097561,False,67.898,77.43409090909091,81.65015151515152,962826.122,409160.77954545454,3059106.0769696967,8609.462566780105,5434.941435686738,23450.32187538416,True,1.2192261514851797,3.364600739898422,10.754554540869162,0.5,1.0,1.0,0.888175022589804,40.811902298637314,3096.878048780488,81.18341127659103,True,71.18928800310407,88442.217915668,81.43000030517578,4.603570665631976,71.18928800310407,
2026-09-07,NBIFIN,INE365I01020,NSE,1926.4,93.45,10025431.5,10732126.2,5452.0,1968.4750917094643,2018.987603169364,118.52173913043478,10.00618551958721,233307.09130434785,False,79.842,69.99681818181818,69.51287878787878,2404113.26,887408.7318181819,3212896.572727272,54289.81364458653,20202.36451905937,23338.521632151667,True,1.3443551990583826,3.120371687374268,9.996652529307546,1.0,0.75,0.75,0.7973656524063657,42.970967765921344,118.5217391304348,62.2053068621879,True,1880.3642752511162,100000.0,1967.699951171875,64.87857491629464,1880.3642752511162,
2026-09-03,GUJJUBHAI,INE311N01016,BSE,118.65,57.43,10632780.95,18549616.0,185233.0,100.14206971759891,122.31275871490271,1023.3867403314918,348.57928503389184,102484.06629834254,False,62.092,55.316818181818185,61.199090909090906,10095872.010000002,6290732.877272728,6992583.071212122,30816.47545368665,42635.69398336372,48003.21694656138,True,0.938412632392044,1.520579854642595,2.134941631358392,0.1333333333333333,0.4666666666666667,0.8666666666666667,0.5714636697736459,103.75057639737663,1023.3867403314918,63.9019332438682,True,97.12500435965401,53757.20574804414,99.9499969482422,9.2249995640346,97.12500435965401,
2026-08-31,GMRAIRPORT,INE776C01039,NSE,97.95,85.16,4762123669.44,5653815225.4,59724643.0,94.66469687227766,102.56352570918344,1119.0047964326532,263.07545901875346,105930.24985292189,False,62.73,56.557272727272725,57.33378787878788,811932516.074,597438918.1713637,1201481035.5245457,32490.42137982361,26981.94660452516,36778.99292900781,True,1.4853370612812264,3.96354459923784,2.880183534589771,0.8,0.9,0.85,0.8546691389096257,44955.27647722852,1119.0047964326532,69.16028664233058,True,93.70928737095424,100000.0,93.62999725341795,2.5235704694475447,93.70928737095424,
2026-08-27,INDUSTOWER,INE121J01017,NSE,374.65,73.3,2621881070.25,3557774451.3,9414509.0,377.9033459206423,380.91983352295216,244.7106726970264,95.11538184547048,92476.98199469745,False,,,,,,,,,,True,1.259056839475328,1.8118452227970427,2.372753676684598,0.8446196660482375,0.8712894248608535,0.9526901669758812,0.9060764937090582,28351.71535334421,244.7106726970264,42.3006752597132,False,363.1000061035156,100000.0,379.9500122070313,9.25,363.1000061035156,
2026-08-24,TATASTEEL,INE081A01020,NSE,187.97,59.38,4181546349.000001,7000100638.46,37800944.0,185.18322289676152,186.77015953959005,246.42718193433987,144.48259055260507,45634.17975996767,False,,,,,,,,,,True,,,,,,,,91631.89457977808,246.42718193434,49.656451996460646,False,180.73856898716517,100000.0,186.3000030517578,3.6871446881975447,180.73856898716517,
2026-08-19,PAGEIND,INE761H01022,NSE,37695.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,10192.965283504687,2.276174589936058,57.27314805901664,False,34560.205363141664,100000.0,35240.0,1048.264878952778,34560.205363141664,
2026-08-18,GRASIM,INE047A01021,NSE,3191.0,62.72,3082223902.5,4915674508.8,1498859.0,3279.611029990146,3244.2631723533163,21.62044543172836,15.40186328186376,70906.65131119637,False,,,,,,,,,,True,,,,,,,,43468.755687991536,21.62044543172836,49.60825056123336,False,3097.5315410989324,100000.0,3278.699951171875,91.15615296702246,3097.5315410989324,
