symbol,entry_price,entry_date,delivery_pct,momentum,current_price,tp,sl,exit_date,status,strategy
ORICONENT,58.119998931884766,2026-08-20,88.95,0,51.26,65.09,49.4,2026-10-19,active,Legacy FlexGate
ALGOQUANT,64.61,2026-09-14,54.32,0,70.13,72.36,54.92,2026-11-13,active,SBIA Alpha Engine
